,product_id,product_name,aisle_id,department_id,suggested_products,suggested_prod_id,suggested_department,suggested_aisle
0,1,sandwich cookies,61,19,"vegetable pie a pocket sandwich,peanut strawberry jam sandwich,danish cookies,ice cookies,sugar cookies","[100,102,431,576,,,1]","[,1,19,,1,19,19]","[38,61,37,61,61]"
1,2,all seasons salt,104,13,"thin stackers brown rice salt,sardines water salt added,black salt caramel dark,nature's seasons seasoning blend,salt seasoning","[425,921,240,463,,,2]","[,6,19,13,13,13]","[,33,,45,104,104,104]"
2,3,robust golden unsweetened oolong,94,7,"fresh cut specialties cut golden wax beans,fresh cut golden sweet no salt added kernel corn,unsweetened original soy non dairy beverage,breeze unsweetened coconut blend,golden cupcakes 8 pack","[,29,862,738,569,,,3]","[15,16,16,19,,7]","[81,91,91,61,94]"
3,4,smart ones classic favorites mini rigatoni vodka,38,1,"classic microwave popcorn,classic original hummus,cracker trio selected favorites,classic coke,100 wheat rigatoni","[544,760,649,774,,,4]","[20,19,,7,,9,,1]","[,67,,78,,77,131,,38]"
4,5,green chile anytime,5,13,"temples green mint,petite green peas,green peas petite,apple green cups,chile con queso potato crisps","[969,327,846,851,,,5]","[,1,,1,17,19,13]","[116,116,111,107,,,5]"
5,6,dry nose oil,11,11,"baby dry diapers size 4,dry pasta lasagne,dry roasted pistachios,super dry beer,argan oil of morocco renewing weightless healing dry oil hair oil","[913,304,379,214,,,6]","[,9,19,,5,11,11]","[131,117,,27,,22,,11]"
6,7,pure coconut water orange,98,7,"orange turmeric juice,pompelmo water,coconut drink,apple spinach kale coconut water superjuice,coconut","[491,670,299,920,,,7]","[21,16,,7,16,,7]","[100,,91,,98,120,,98]"
7,8,cut russet potatoes steam n' mash,116,1,"turkey meatloaf mashed potatoes,zita cut no 118,instant mashed potatoes,fresh cut specialties cut golden wax beans,gold potatoes","[139,278,799,306,,,8]","[,9,,9,15,,4,,1]","[131,,,4,,81,,83,116]"
8,9,light strawberry,120,16,"goober strawberry,strawberry pomegranate,strawberry pomegranate,light fit strawberry cheesecake greek nonfat,light string","[983,132,419,852,,,9]","[19,16,16,16,16]","[,,3,120,120,,21,120]"
9,10,sparkling orange juice prickly pear beverage,115,7,"sparkling blush grape juice,sparkling raspberry lemonade water beverage,orange turmeric juice,apple sparkling juice beverage,sparkling","[334,488,618,456,,10]","[7,7,7,7,7]","[115,,31,,98,,77,115]"
10,11,peach mango juice,31,7,"super berry juice,premium apple juice,soft eating mango flavor liquorice,peach aloe vera drink,mango peach carrot kickstart smoothie","[935,709,677,552,,11]","[,7,19,,7,,1,,7]","[,98,,45,,98,116,,31]"
11,12,fudge layer cake,119,1,"flourless truffle cake,fudge brownies english walnuts,frozen all pound cake,6 carrot cake,pound cake cake","[622,358,218,362,,12]","[19,,1,,3,13,,1]","[,61,119,,,8,105,119]"
12,13,saline nasal mist,11,11,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,grassmilk,apricots","[,341,,342,,329,1000,,,13]","[,9,,8,16,10,11]","[,9,41,84,18,11]"
13,14,fresh scent dishwasher cleaner,74,17,"automatic toilet bowl cleaner bleach blue rain clean scent pack,lemon fresh multi surface cleaner,sweeper open window fresh scent wet mopping cloths refill,dawn action pacs fresh scent dishwasher detergent pacs,fresh scent dishwasher detergent dawn","[732,717,541,186,,14]","[17,17,17,17,17]","[114,114,,74,,74,,74]"
14,15,overnight diapers size 6,56,18,"triple snack size,snack size candy,swaddlers diapers jumbo pack size newborn,cruisers diapers jumbo pack size 5,baby dry diapers size 4","[630,765,682,879,,15]","[19,18,18,18,18]","[45,56,56,56,56]"
